host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
GALNT5	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.165	na||STRING DB score	na||na	na||na	na||source:ppi	Q7Z7M9	Tbio
GALNT9	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.36	na||STRING DB score	na||na	na||na	na||source:ppi	Q9HCQ5	Tbio
GALNTL5	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.153	na||STRING DB score	na||na	na||na	na||source:ppi	Q7Z4T8	Tbio
GALNTL6	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.358	na||STRING DB score	na||na	na||na	na||source:ppi	Q49A17	Tbio
GAPDH	ppi_string	True	STRING	STRING API	False	False	0.175	STRING DB score	na	na	source:ppi	P04406	Tchem
GBGT1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.4	na||STRING DB score	na||na	na||na	na||source:ppi	Q8N5D6	Tbio
GCC1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.381	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96CN9	Tbio
GCC2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.158	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8IWJ2	Tbio
GDF15	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.159	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q99988	Tbio
GEMIN2	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.174	na||STRING DB score	na||na	na||na	notes:SMN complex;role:sensitization_anti-viral||source:ppi	O14893	Tbio
GEMIN5	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.158	na||STRING DB score	na||na	na||na	notes:SMN complex;role:sensitization_anti-viral||source:ppi	Q8TEQ6	Tbio
GEMIN6	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.195	na||STRING DB score	na||na	na||na	notes:SMN complex;role:sensitization_anti-viral||source:ppi	Q8WXD5	Tbio
GEMIN7	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.193	na||STRING DB score	na||na	na||na	notes:SMN complex;role:sensitization_anti-viral||source:ppi	Q9H840	Tbio
GEMIN8	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.246	na||STRING DB score	na||na	na||na	notes:SMN complex;role:sensitization_anti-viral||source:ppi	Q9NWZ8	Tdark
GFER	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.165	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P55789	Tchem
GGCX	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.441	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	P38435	Tclin
GGH	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.165	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q92820	Tchem
GHITM	hpi_krogan||hostprot_nat||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.184	na||na||STRING DB score	na||down||na	na||quantity change||na	source:hpi||na||source:ppi	Q9H3K2	Tbio
GHSR	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.905	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q92847	Tclin
GIGYF2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.16899999999999998	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q6Y7W6	Tchem
GLA	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.23	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P06280	Tclin
GNB1	hpi_krogan||ppi_sg||ppi_string	True||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||SmartGraph||STRING	Preprint/Nature, experimental data||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.09||0.159	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	P62873	Tbio
GNG5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.15	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P63218	Tbio
GNPDA1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.152	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P46926	Tbio
GOLGA2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.196	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q08379	Tbio
GOLGA3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.15	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q08378	Tbio
GOLGA7	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.16699999999999998	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q7Z5G4	Tbio
GOLGB1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.155	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q14789	Tbio
GORASP1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.539	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BQQ3	Tbio
GP6	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.395	na||STRING DB score	na||na	na||na	na||source:ppi	Q9HCN6	Tbio
GPAA1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O43292	Tbio
GPR64	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
GPX1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.246	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P07203	Tbio
GRB2	hpi_phipster||ppi_sg||ppi_string	False||True||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Predictions by PHIPSTER webapp, shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.51||0.338	na||confidence||STRING DB score	na||na||na	na||na||na	source:hpi||source:ppi||source:ppi	P62993	Tchem
GRIPAP1	hpi_krogan	True	SARS-CoV-2 - Human Interactome, Krogan et al.	Preprint/Nature, experimental data	False	True	na	na	na	na	source:hpi	Q4V328	Tbio
GRPEL1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.16899999999999998	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9HAV7	Tbio
GSK3B	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.3	confidence	na	na	source:ppi	P49841	Tclin
GSTP1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.152	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P09211	Tchem
GTF2F2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.18	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P13984	Tbio
GTF2H2	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.261	na||STRING DB score	na||na	na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi	Q13888	Tbio
GTF2H3	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.172	na||STRING DB score	na||na	na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi	Q13889	Tbio
GTF2H4	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.182	na||STRING DB score	na||na	na||na	notes:TFIIH holo complex;role:sensitization_anti-viral||source:ppi	Q92759	Tbio
GTFH1	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:TFIIH holo complex;role:sensitization_anti-viral	na	unk
GZF1	hostprot_crispr	True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101	Extracted by TIO	False	True	na	na	na	na	notes:cystatin and endolysosome lumen;role:resistance_pro_viral	Q9H116	Tbio
H1-0	ppi_string	True	STRING	STRING API	False	False	0.244	STRING DB score	na	na	source:ppi	P07305	Tchem
H1-2	ppi_string	True	STRING	STRING API	False	False	0.252	STRING DB score	na	na	source:ppi	P16403	Tbio
H1-4	ppi_string	True	STRING	STRING API	False	False	0.181	STRING DB score	na	na	source:ppi	P10412	Tbio
H1F0	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
H3-2	ppi_string	True	STRING	STRING API	False	False	0.2	STRING DB score	na	na	source:ppi	na	unk
H3-3A	ppi_string	True	STRING	STRING API	False	False	0.18600000000000005	STRING DB score	na	na	source:ppi	P84243	Tbio
H3-3B	ppi_string	True	STRING	STRING API	False	False	0.18600000000000005	STRING DB score	na	na	source:ppi	P84243	Tbio
H3F3A	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
H3F3AP4	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
H3F3B	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
HAS3	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.229	na||STRING DB score	na||na	na||na	na||source:ppi	O00219	Tbio
HAT1	hostprot_hats	False	Tudor I. Oprea, MD, PhD (TIO), Tim Willson (TW), PhD	TIO, TW	True	False	na	na	na	na	na	O14929	Tbio
HAVCR2	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.313	na||STRING DB score	na||na	na||na	na||source:ppi	Q8TDQ0	Tbio
HDAC2	hpi_krogan||hostprot_taiml||ppi_sg||ppi_string	True||False||True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||SmartGraph||STRING	Preprint/Nature, experimental data||Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False||False	True||True||False||False	na||na||0.13||0.32299999999999995	na||na||confidence||STRING DB score	na||na||na||na	na||na||na||na	source:hpi||na||source:ppi||source:ppi	Q92769	Tclin
HEATR3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.22	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q7Z4Q2	Tbio
HECTD1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.183	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9ULT8	Tbio
HINT1	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.219	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P49773	Tbio
HIRA	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.161	na||STRING DB score	na||na	na||na	notes:;role:sensitization_anti-viral||source:ppi	P54198	Tbio
HIST1H1C	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
HIST1H1E	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	na	unk
HLA-DQB2	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.9	na||STRING DB score	na||na	na||na	na||source:ppi	P05538	Tbio
HMGB1	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.157	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	P09429	Tbio
HMGXB4	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.281	na||STRING DB score	na||na	na||na	notes:NURF complex;role:sensitization_anti-viral||source:ppi	Q9UGU5	Tbio
HMOX1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.21	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	P09601	Tchem
